figure,panel,claim,summary,uncertainty,unit,labels,collision_check,visual_review
phase1_overview,panda_0,All scheduled quality yield,Count,Descriptive fixed scenes; paired cluster intervals are separate,CAD/placement cluster,Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
phase1_overview,panda_1,Actual qualified completion time,All scene points and median,Descriptive fixed scenes; paired cluster intervals are separate,CAD/placement cluster,Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
phase1_overview,panda_2,Planning work averaged within scene,All scene points and median,Descriptive fixed scenes; paired cluster intervals are separate,CAD/placement cluster,Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
all_scene_status,panda,Every scene outcome including missing execution,Individual categorical outcomes,Not an aggregate estimate,Scene,Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
paired_effects,panda_quality,Matched changes with cluster uncertainty,Mean of cluster means,4000 paired cluster bootstrap 95% percentile intervals,CAD/placement cluster,Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
paired_effects,panda_execution,Matched changes with cluster uncertainty,Mean of cluster means,4000 paired cluster bootstrap 95% percentile intervals,CAD/placement cluster,Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
phase1_overview,ur5e_0,All scheduled quality yield,Count,Descriptive fixed scenes; paired cluster intervals are separate,CAD/placement cluster,Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
phase1_overview,ur5e_1,Actual qualified completion time,All scene points and median,Descriptive fixed scenes; paired cluster intervals are separate,CAD/placement cluster,Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
phase1_overview,ur5e_2,Planning work averaged within scene,All scene points and median,Descriptive fixed scenes; paired cluster intervals are separate,CAD/placement cluster,Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
all_scene_status,ur5e,Every scene outcome including missing execution,Individual categorical outcomes,Not an aggregate estimate,Scene,Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
paired_effects,ur5e_quality,Matched changes with cluster uncertainty,Mean of cluster means,4000 paired cluster bootstrap 95% percentile intervals,CAD/placement cluster,Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
paired_effects,ur5e_execution,Matched changes with cluster uncertainty,Mean of cluster means,4000 paired cluster bootstrap 95% percentile intervals,CAD/placement cluster,Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_plane_p0_u,row1_B0,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_plane_p0_u,row1_B1,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_plane_p0_u,row1_B2,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_plane_p0_u,row1_G,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_plane_p0_u,row2_B0,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_plane_p0_u,row2_B1,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_plane_p0_u,row2_B2,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_plane_p0_u,row2_G,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_plane_p0_u,row3_B0,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_plane_p0_u,row3_B1,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_plane_p0_u,row3_B2,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_plane_p0_u,row3_G,Planned rate/sampling constraints,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_plane_p0_u,row4_B0,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_plane_p0_u,row4_B1,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_plane_p0_u,row4_B2,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_plane_p0_u,row4_G,Actual motion and 1 ms maxima,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_saddle_p0_u,row1_B0,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_saddle_p0_u,row1_B1,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_saddle_p0_u,row1_B2,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_saddle_p0_u,row1_G,Actual coverage and prescribed path,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_saddle_p0_u,row2_B0,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_saddle_p0_u,row2_B1,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_saddle_p0_u,row2_B2,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
physical_details_panda_saddle_p0_u,row2_G,Actual process-limit utilization,Recorded trace or measured coverage map,Single predetermined physical execution; no inferential interval,"Scene, first execution",Reviewed,Reviewed after legends moved outside data panels,Assistant inspected final rendered panels; separate from automated font checks
